Series ID,year,period,label,value
LNS13000060Q,2015,Q02,2015 Qtr2,4639
LNS13000060Q,2015,Q03,2015 Qtr3,4323
LNS13000060Q,2015,Q04,2015 Qtr4,4390
LNS13000060Q,2016,Q01,2016 Qtr1,4263
LNS13000060Q,2016,Q02,2016 Qtr2,4260
LNS13000060Q,2016,Q03,2016 Qtr3,4295
LNS13000060Q,2016,Q04,2016 Qtr4,4179
LNS13000060Q,2017,Q01,2017 Qtr1,4069
LNS13000060Q,2017,Q02,2017 Qtr2,3932
LNS13000060Q,2017,Q03,2017 Qtr3,3855
LNS13000060Q,2017,Q04,2017 Qtr4,3517
LNS13000060Q,2018,Q01,2018 Qtr1,3558
LNS13000060Q,2018,Q02,2018 Qtr2,3442
LNS13000060Q,2018,Q03,2018 Qtr3,3246
LNS13000060Q,2018,Q04,2018 Qtr4,3297
LNS13000060Q,2019,Q01,2019 Qtr1,3359
LNS13000060Q,2019,Q02,2019 Qtr2,3121
LNS13000060Q,2019,Q03,2019 Qtr3,3177
LNS13000060Q,2019,Q04,2019 Qtr4,3133
LNS13000060Q,2020,Q01,2020 Qtr1,3344
LNS13000061,2010,M01,2010 Jan,5312
LNS13000061,2010,M02,2010 Feb,5353
LNS13000061,2010,M03,2010 Mar,5380
LNS13000061,2010,M04,2010 Apr,5242
LNS13000061,2010,M05,2010 May,5203
LNS13000061,2010,M06,2010 Jun,5175
LNS13000061,2010,M07,2010 Jul,4974
LNS13000061,2010,M08,2010 Aug,5008
LNS13000061,2010,M09,2010 Sep,5031
LNS13000061,2010,M10,2010 Oct,4843
LNS13000061,2010,M11,2010 Nov,5111
LNS13000061,2010,M12,2010 Dec,4855
LNS13000061,2011,M01,2011 Jan,4601
LNS13000061,2011,M02,2011 Feb,4494
LNS13000061,2011,M03,2011 Mar,4508
LNS13000061,2011,M04,2011 Apr,4587
LNS13000061,2011,M05,2011 May,4574
LNS13000061,2011,M06,2011 Jun,4698
LNS13000061,2011,M07,2011 Jul,4575
LNS13000061,2011,M08,2011 Aug,4535
LNS13000061,2011,M09,2011 Sep,4476
LNS13000061,2011,M10,2011 Oct,4468
LNS13000061,2011,M11,2011 Nov,4152
LNS13000061,2011,M12,2011 Dec,4068
LNS13000061,2012,M01,2012 Jan,3880
LNS13000061,2012,M02,2012 Feb,3833
LNS13000061,2012,M03,2012 Mar,3898
LNS13000061,2012,M04,2012 Apr,3754
LNS13000061,2012,M05,2012 May,3757
LNS13000061,2012,M06,2012 Jun,3857
LNS13000061,2012,M07,2012 Jul,3769
LNS13000061,2012,M08,2012 Aug,3749
LNS13000061,2012,M09,2012 Sep,3628
LNS13000061,2012,M10,2012 Oct,3641
LNS13000061,2012,M11,2012 Nov,3558
LNS13000061,2012,M12,2012 Dec,3514
LNS13000061,2013,M01,2013 Jan,3580
LNS13000061,2013,M02,2013 Feb,3466
LNS13000061,2013,M03,2013 Mar,3359
LNS13000061,2013,M04,2013 Apr,3538
LNS13000061,2013,M05,2013 May,3474
LNS13000061,2013,M06,2013 Jun,3480
LNS13000061,2013,M07,2013 Jul,3439
LNS13000061,2013,M08,2013 Aug,3497
LNS13000061,2013,M09,2013 Sep,3487
LNS13000061,2013,M10,2013 Oct,3394
LNS13000061,2013,M11,2013 Nov,3412
LNS13000061,2013,M12,2013 Dec,3098
LNS13000061,2014,M01,2014 Jan,3072
LNS13000061,2014,M02,2014 Feb,3116
LNS13000061,2014,M03,2014 Mar,2950
LNS13000061,2014,M04,2014 Apr,2853
LNS13000061,2014,M05,2014 May,2877
LNS13000061,2014,M06,2014 Jun,2746
LNS13000061,2014,M07,2014 Jul,2709
LNS13000061,2014,M08,2014 Aug,2812
LNS13000061,2014,M09,2014 Sep,2499
LNS13000061,2014,M10,2014 Oct,2486
LNS13000061,2014,M11,2014 Nov,2606
LNS13000061,2014,M12,2014 Dec,2501
LNS13000061,2015,M01,2015 Jan,2576
LNS13000061,2015,M02,2015 Feb,2503
LNS13000061,2015,M03,2015 Mar,2450
LNS13000061,2015,M04,2015 Apr,2451
LNS13000061,2015,M05,2015 May,2470
LNS13000061,2015,M06,2015 Jun,2325
LNS13000061,2015,M07,2015 Jul,2322
LNS13000061,2015,M08,2015 Aug,2200
LNS13000061,2015,M09,2015 Sep,2211
LNS13000061,2015,M10,2015 Oct,2324
LNS13000061,2015,M11,2015 Nov,2292
LNS13000061,2015,M12,2015 Dec,2315
LNS13000061,2016,M01,2016 Jan,2184
LNS13000061,2016,M02,2016 Feb,2185
LNS13000061,2016,M03,2016 Mar,2212
LNS13000061,2016,M04,2016 Apr,2296
LNS13000061,2016,M05,2016 May,2153
LNS13000061,2016,M06,2016 Jun,2223
LNS13000061,2016,M07,2016 Jul,2222
LNS13000061,2016,M08,2016 Aug,2178
LNS13000061,2016,M09,2016 Sep,2359
LNS13000061,2016,M10,2016 Oct,2236
LNS13000061,2016,M11,2016 Nov,2189
LNS13000061,2016,M12,2016 Dec,2146
LNS13000061,2017,M01,2017 Jan,2187
LNS13000061,2017,M02,2017 Feb,2146
LNS13000061,2017,M03,2017 Mar,2096
LNS13000061,2017,M04,2017 Apr,1947
LNS13000061,2017,M05,2017 May,2002
LNS13000061,2017,M06,2017 Jun,2024
LNS13000061,2017,M07,2017 Jul,2058
LNS13000061,2017,M08,2017 Aug,2095
LNS13000061,2017,M09,2017 Sep,1890
LNS13000061,2017,M10,2017 Oct,1831
LNS13000061,2017,M11,2017 Nov,1795
LNS13000061,2017,M12,2017 Dec,1807
